EST,Estonia,N/A,N/A,N/A,N/A,N/A,N/A,8422,9085,9262,9531,9675,9756
ETH,Ethiopia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2004,1733,1508,1323,1227
FJI,Fiji,67718,58516,52598,47719,42727,39559,38348,36007,35001,34204,32658,32003
FIN,Finland,24472,23997,23681,23212,22793,22281,21847,21397,21150,20798,20276,19989
FRA,France,4478,4238,4078,3943,3870,3768,3670,3597,3512,3405,3320,3277
GAB,Gabon,325618,299747,270755,244549,216456,189303,165174,145105,128782,115198,102914,96232
GMB,Gambia,20860,19217,16860,14498,12342,9949,8166,7098,6116,5208,4427,4018
GEO,Georgia,N/A,N/A,N/A,N/A,N/A,N/A,11846,12869,13678,14439,15301,15832
DEU,Germany,2074,1997,1957,1961,1979,1978,1923,1878,1885,1905,1914,1909
GHA,Ghana,7932,6975,6187,5515,4892,4169,3632,3199,2840,2495,2200,2050
GRC,Greece,8131,7925,7724,7390,7000,6854,6627,6335,6212,6145,6157,6244
GRD,Grenada,2164,2106,2129,2218,2148,2012,2058,1978,1959,1931,1896,1873
GTM,Guatemala,29355,25616,22290,19438,17035,15005,13297,11764,10422,9269,8322,7826
GIN,Guinea,61230,56191,52644,51434,48239,42047,33477,27128,24797,22259,19434,17924
GNB,Guinea-Bissau,49841,46594,42542,38982,35472,31791,28416,25446,22886,20563,18309,17028
GUY,Guyana,451215,403274,380511,355456,345003,363661,377648,369310,364688,363466,357331,353279
HTI,Haiti,3487,3156,2877,2627,2356,2103,1899,1730,1588,1468,1364,1310
HND,Honduras,43086,37072,32394,27868,23826,20489,17792,15738,14181,12918,11913,11413
HUN,Hungary,10333,10157,9984,9764,9701,9922,10034,10086,10228,10334,10444,10553
ISL,Iceland,930997,861196,809909,765421,729301,688538,654098,623167,592541,556647,525665,516090
IND,India,4083,3681,3296,2936,2617,2338,2108,1915,1753,1620,1512,1458
IDN,Indonesia,21813,19064,16678,14703,13067,11757,10753,9953,9288,8691,8140,7839
IRN,Iran (Islamic Republic of),5938,5206,4555,3935,3273,2678,2357,2195,2024,1910,1799,1732
IRQ,Iraq,11710,10044,8477,7211,6224,5515,4865,4176,3602,3161,2727,2467
IRL,Ireland,18427,18043,17173,15815,14853,14582,14517,14031,13105,11848,11140,11092
ISR,Israel,786.2,670.9,586.7,506.5,458.3,422.2,370.3,316.2,285.3,257.2,231.3,220.7
ITA,Italy,3791,3648,3525,3430,3378,3357,3352,3353,3318,3235,3202,3199
JAM,Jamaica,6437,5985,5606,5237,4892,4606,4466,4268,4106,4000,3916,3874
JPN,Japan,4562,4312,4033,3803,3653,3553,3491,3439,3406,3379,3382,3397
JOR,Jordan,973.2,709.8,517.1,447.9,380.4,314.2,250.3,206.2,189.7,162.7,134,123.4
KAZ,Kazakhstan,N/A,N/A,N/A,N/A,N/A,N/A,6596,7009,7221,6880,6444,6150
KEN,Kenya,3558,3023,2541,2113,1748,1452,1227,1064,939.1,824.1,721.6,666.7
KWT,Kuwait,59.67,34.14,23.07,16.93,13.17,10.43,10.48,11.86,9.794,7.877,5.848,5.139
KGZ,Kyrgyzstan,N/A,N/A,N/A,N/A,N/A,N/A,5276,4988,4698,4517,4182,3976
LAO,Lao People's Democratic Republic,150225,133667,117512,106515,98233,85623,74161,65792,60614,56145,51522,49030
LVA,Latvia,N/A,N/A,N/A,N/A,N/A,N/A,13577,14559,15300,16329,17403,17995
LBN,Lebanon,2339,2070,1863,1728,1711,1685,1596,1456,1278,1102,914.5,769.6
LSO,Lesotho,3427,3112,2811,2500,2199,1988,1820,1677,1603,1545,1469,1415
LBR,Liberia,198291,176426,154977,134571,113949,105647,114342,98097,75545,65872,55370,51521
LBY,Libya,455.7,375.9,303.4,246.5,202.9,171.7,152.3,138.3,126.9,116.3,111.4,111.5
LTU,Lithuania,N/A,N/A,N/A,N/A,N/A,N/A,6638,6855,7137,7506,8123,8513
LUX,Luxembourg,8967,8698,8541,8452,8393,8353,8229,8087,7888,7373,6573,6172
MDG,Madagascar,62955,55501,48475,41957,36547,31904,27479,23519,20136,17397,15116,13906
MWI,Malawi,4567,4054,3556,3070,2665,2131,1785,1684,1466,1280,1101,1004
MYS,Malaysia,66582,57358,50611,44989,39879,34722,30200,26596,23769,21698,19985,19122
MDV,Maldives,316.1,279.1,243.1,207.5,176.6,147.7,127.1,113.2,103.4,95.09,87.01,82.49
